bill_number,title,primary_subject
S.925,"A bill to amend title 38, United States Code, to improve the ability of health care professionals to treat veterans through the use of telemedicine, and for other purposes.",Armed Forces and National Security
S.926,"A bill to authorize the Global War on Terror Memorial Foundation to establish the National Global War on Terrorism Memorial as a commemorative work in the District of Columbia, and for other purposes.",Public Lands and Natural Resources
S.940,"A bill to amend the Internal Revenue Code of 1986 to modify the rules relating to loans made from a qualified employer plan, and for other purposes.",Taxation
S.932,"A bill to amend the Congressional Budget Act of 1974 to provide that any estimate prepared by the Congressional Budget Office or the Joint Committee on Taxation shall include costs relating to servicing the public debt, and for other purposes.",Economics and Public Finance
S.938,A bill to require notice of cost-free Federal procurement technical assistance in connection with registration of small business concerns in procurement systems.,Government Operations and Politics
S.927,A bill to allow acceleration certificates awarded under the Patents for Humanity Program to be transferable.,Commerce
S.937,A bill to amend the Internal Revenue Code of 1986 to provide for a refundable adoption tax credit.,Taxation
S.929,A bill to improve the HUBZone program.,Commerce
S.939,"A bill to reserve any amounts forfeited to the United States Government as a result of the criminal prosecution of Joaquin Archivaldo Guzman Loera (commonly known as ""El Chapo""), or of other felony convictions involving the transportation of controlled substances into the United States, for security measures along the Southern border, including the completion of a border wall.",Crime and Law Enforcement
S.941,"A bill to withdraw certain National Forest System land in the Emigrant Crevice area located in the Custer Gallatin National Forest, Park County, Montana, from the mining and mineral leasing laws of the United States, and for other purposes.",Public Lands and Natural Resources
S.RES.138,"A resolution honoring National Former Prisoner of War Recognition Day on April 9, 2017, and commemorating the 75th anniversary of the fall of Bataan.",International Affairs
S.RES.140,A resolution supporting the designation of April 2017 as "Parkinson's Awareness Month".,Health
S.RES.141,A resolution congratulating the University of South Carolina women's basketball team for winning the 2017 National Collegiate Athletic Association Division I Women's Basketball Tournament Championship.,Sports and Recreation
S.RES.142,"A resolution commemorating the 10th anniversary of the tragic events at Virginia Polytechnic Institute and State University on April 16, 2007.",Crime and Law Enforcement
S.RES.139,A resolution condemning the Government of Iran's state-sponsored persecution of its Baha'i minority and its continued violation of the International Covenants on Human Rights.,International Affairs
S.RES.143,A resolution supporting fair and equitable grading treatment for exports of United States wheat products to Canada.,Foreign Trade and International Finance
H.RES.276,Expressing the sense of the House that more should be done to instill Holocaust education in school curricula around the country.,Education
H.RES.277,Expressing support for designation of April 2017 as National Stress Awareness Month.,Health
H.RES.275,"Providing for consideration of the bill (H.R. 1695) to amend title 17, United States Code, to provide additional responsibilities for the Register of Copyrights, and for other purposes.",Congress
H.RES.274,Condemning the Government of Iran's state-sponsored persecution of its Baha'i minority and its continued violation of the International Covenants on Human Rights.,International Affairs
H.RES.278,Amending the Rules of the House of Representatives to permit absent Members to participate in committee hearings using video conferencing and related technologies and to establish a remote voting system under which absent Members may cast votes in the House on motions to suspend the rules.,Congress
H.R.2120,"To direct the Secretary of Transportation to take actions to address issues affecting motorcoach and school bus operators, and for other purposes.",Transportation and Public Works
H.R.2130,"To award a Congressional Gold Medal to Myrlie Evers-Williams, in recognition of the great contributions and ultimate sacrifice she and her husband, the assassinated civil rights leader Medgar Wiley Evers, made in the fight for racial equality in the United States.","Civil Rights and Liberties, Minority Issues"
H.R.2118,"To amend the Federal Food, Drug, and Cosmetic Act to require the registration of establishments that service devices, and for other purposes.",Health
H.R.2129,"To establish the Climate Change Advisory Commission to develop recommendations, frameworks, and guidelines for projects to respond to the impacts of climate change, to issue Federal obligations, the proceeds of which shall be used to fund projects that aid in adaptation to climate change, and for other purposes.",Environmental Protection
H.R.2139,"To amend the FAA Modernization and Reform Act of 2012 and title 49, United States Code, with respect to disadvantaged business enterprises, and for other purposes.",Transportation and Public Works
H.R.2131,"To amend the Homeland Security Act of 2002 to direct the Chief Human Capital Officer of the Department of Homeland Security to improve consistency regarding discipline and adverse actions in the Department's workforce, and for other purposes.",Government Operations and Politics
H.R.2127,To amend the Labor-Management Reporting and Disclosure Act of 1959 to require employee consent before labor organization dues of such employee are used for any purpose not directly related to the labor organization's collective bargaining or contract administration functions.,Labor and Employment
H.R.2124,"To require the Secretary of Transportation to modify a regulation regarding denied boarding on an aircraft, and for other purposes.",Transportation and Public Works
H.R.2123,"To amend title 38, United States Code, to improve the ability of health care professionals to treat veterans through the use of telemedicine, and for other purposes.",Armed Forces and National Security
H.R.2116,To amend the Reclamation Wastewater and Groundwater Study and Facilities Act to authorize the Secretary of the Interior to participate in a series of water reclamation projects to provide a new water supply to communities previously impacted by perchlorate contamination plumes.,Water Resources Development
H.R.2119,"To prohibit, as an unfair or deceptive act or practice, commercial sexual orientation conversion therapy, and for other purposes.",Commerce
H.R.2122,To reinstate and extend the deadline for commencement of construction of a hydroelectric project involving Jennings Randolph Dam.,Energy
H.R.2133,"To provide regulatory relief to community financial institutions, and for other purposes.",Finance and Financial Sector
H.R.2137,"To direct the President to treat a harmful algal bloom caused by certain activities of the Federal Government as an emergency for purposes of the Robert T. Stafford Disaster Relief and Emergency Assistance Act, and for other purposes.",Emergency Management
H.R.2125,"To amend the Congressional Budget Act of 1974 to provide that any estimate prepared by the Congressional Budget Office or the Joint Committee on Taxation shall include costs relating to servicing the public debt, and for other purposes.",Economics and Public Finance
H.R.2117,"To amend the Employee Retirement Income Security Act of 1974 to permit multiemployer plans in critical status to modify plan rules relating to withdrawal liability, and for other purposes.",Labor and Employment
H.R.2126,"To strengthen welfare research and evaluation, and for other purposes.",Social Welfare
H.R.2132,"To require the implementation of a redress process and review of the Transportation Security Administration's intelligence-based screening rules for aviation security, and for other purposes.",Transportation and Public Works
H.R.2144,"To amend the Federal Food, Drug, and Cosmetic Act to provide for the appropriate, risk-based classification of device accessories based on their intended uses.",Health
H.R.2134,"To amend the Endangered Species Act of 1973 to permit Governors of States to regulate intrastate endangered species and intrastate threatened species, and for other purposes.",Environmental Protection
H.R.2140,"To amend the Internal Revenue Code of 1986 to increase the credit for employers establishing workplace child care facilities, to increase the child care credit to encourage greater use of quality child care services, to provide incentives for students to earn child care-related degrees and to work in child care facilities, and to increase the exclusion for employer-provided dependent care assistance.",Taxation
H.R.2121,"To require the appropriate Federal banking agencies to revise regulations to specify that certain funds shall not be taken into account when calculating any supplementary leverage ratio for custodial banks, and for other purposes.",Finance and Financial Sector
H.R.2138,To provide that members of the Armed Forces performing services in the Sinai Peninsula of Egypt shall be entitled to tax benefits in the same manner as if such services were performed in a combat zone.,Taxation
H.R.2145,"To prohibit licenses or other authorization for United States persons to engage in activities relating to deepwater, Arctic offshore, or shale projects that have the potential to produce oil in the Russian Federation, or in maritime area claimed by the Russian Federation, and for other purposes.",International Affairs
H.R.2128,"To amend the Securities Exchange Act of 1934 to permit private persons to compel the Securities and Exchange Commission to seek legal or equitable remedies in a civil action, instead of an administrative proceeding, and for other purposes.",Finance and Financial Sector
H.R.2135,"To designate certain National Forest System lands and certain public lands under the jurisdiction of the Secretary of the Interior in the States of Idaho, Montana, Oregon, Washington, and Wyoming as wilderness, wild and scenic rivers, wildland recovery areas, and biological connecting corridors, and for other purposes.",Public Lands and Natural Resources
H.R.2142,"To improve the ability of U.S. Customs and Border Protection to interdict fentanyl, other synthetic opioids, and other narcotics and psychoactive substances that are illegally imported into the United States, and for other purposes.",Foreign Trade and International Finance
H.R.2141,"To provide incentives to physicians to practice in rural and medically underserved communities, and for other purposes.",Immigration
H.R.2143,"To impose a net worth tax of 14.25 percent on all individuals and trusts with a net worth of $10,000,000 or more.",Taxation
H.R.2136,To amend the Internal Revenue Code of 1986 to provide an exception from certain reporting requirements with respect to the foreign accounts of individuals who live abroad.,Taxation
S.944,A bill to amend the Internal Revenue Code of 1986 to reform and extend the incentives for biodiesel.,Taxation
S.942,"A bill to require a plan to combat international travel by terrorists and foreign fighters, accelerate the transfer of certain border security systems to foreign partner governments, establish minimum international border security standards, authorize the suspension of foreign assistance to countries not making significant efforts to comply with such minimum standards, and for other purposes.",International Affairs
S.949,A bill to require the Director of the Office of Personnel Management to create a classification that more accurately reflects the vital role of wildland firefighters.,Government Operations and Politics
S.943,"A bill to direct the Secretary of the Interior to conduct an accurate comprehensive student count for the purposes of calculating formula allocations for programs under the Johnson-O'Malley Act, and for other purposes.",Native Americans
S.946,"A bill to require the Secretary of Veterans Affairs to hire additional Veterans Justice Outreach Specialists to provide treatment court services to justice-involved veterans, and for other purposes.",Armed Forces and National Security
S.950,A bill to correct problems pertaining to human resources for career and volunteer personnel engaged in wildland fire and structure fire.,Government Operations and Politics
S.951,"A bill to reform the process by which Federal agencies analyze and formulate new regulations and guidance documents, and for other purposes.",Government Operations and Politics
S.945,A bill to amend the Carl D. Perkins Career and Technical Education Act of 2006 to authorize funds to identify and eliminate excessive occupational licensure.,Education
S.948,A bill to designate as wilderness certain Federal portions of the red rock canyons of the Colorado Plateau and the Great Basin Deserts in the State of Utah for the benefit of present and future generations of people in the United States.,Public Lands and Natural Resources
S.947,"A bill to protect passengers on flights in air transportation from being denied boarding involuntarily, and for other purposes.",Transportation and Public Works
S.953,"A bill to require the United States Secret Service to make certain White House visitor logs available to the public, and for other purposes.",Government Operations and Politics
S.952,A bill to increase the role of the financial industry in combating human trafficking.,Finance and Financial Sector
S.CON.RES.13,A concurrent resolution calling upon the President to issue a proclamation recognizing the abiding importance of the Helsinki Final Act and its relevance to the national security of the United States.,International Affairs
H.RES.284,"Expressing support for honoring Earth Day, and for other purposes.",Environmental Protection
H.RES.281,Expressing support for designation of April 2017 as "Second Chance Month".,Crime and Law Enforcement
H.RES.279,Recognizing Israeli-American heritage and the contributions of the Israeli-American community to the United States.,"Arts, Culture, Religion"
H.RES.283,Expressing the sense of the House of Representatives that congressional redistricting should be reformed to remove political gerrymandering.,Congress
H.RES.285,Expressing the sense of the United States House of Representatives that Congress and the President should empower the creation of police and community alliances designed to enhance and improve communication and collaboration between members of the law enforcement community and the public they serve.,Crime and Law Enforcement
H.RES.282,"Supporting State, local, and community initiatives to encourage parents, teachers, camp counselors, and childcare professionals to take measures to prevent sunburns in the minors they care for, and expressing the sense of the House of Representatives that State, local, and community entities should continue to support efforts to curb the incidences of skin cancer beginning with childhood skin protection.",Health
H.RES.280,"Providing for consideration of the bill (H.R. 1694) to require additional entities to be subject to the requirements of section 552 of title 5, United States Code (commonly referred to as the Freedom of Information Act), and for other purposes; providing for consideration of motions to suspend the rules; and waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules.",Congress
H.R.10,"To create hope and opportunity for investors, consumers, and entrepreneurs by ending bailouts and Too Big to Fail, holding Washington and Wall Street accountable, eliminating red tape to increase access to capital and credit, and repealing the provisions of the Dodd-Frank Act that make America less prosperous, less stable, and less free, and for other purposes.",Finance and Financial Sector
H.R.2148,"To amend the Federal Deposit Insurance Act to clarify capital requirements for certain acquisition, development, or construction loans.",Finance and Financial Sector
H.R.2149,To amend the Internal Revenue Code of 1986 to require inclusion of the taxpayer's social security number to claim the refundable portion of the child tax credit.,Taxation
H.R.2147,"To require the Secretary of Veterans Affairs to hire additional Veterans Justice Outreach Specialists to provide treatment court services to justice-involved veterans, and for other purposes.",Armed Forces and National Security
H.R.2153,"To hold the salaries of Members of a House of Congress in escrow if the House of Congress does not agree to a budget resolution or pass regular appropriation bills on a timely basis during a Congress, and for other purposes.",Congress
H.R.2150,"To ensure that permits issued by the Secretary of Transportation to foreign air carriers under the United States-European Union Air Transport Agreement of April 2007 do not undermine labor rights or standards, and for other purposes.",Transportation and Public Works
H.R.2161,To adjust the immigration status of certain Venezuelan nationals who are in the United States.,Immigration
H.R.2154,"To rename the Red River Valley Agricultural Research Center in Fargo, North Dakota, as the Edward T. Schafer Agricultural Research Center.",Agriculture and Food
H.R.2146,To amend the William Wilberforce Trafficking Victims Protection Reauthorization Act of 2008 to require the Secretary of Homeland Security to provide notice to State authorities when unaccompanied alien children are placed in that State.,Immigration
H.R.2158,"To amend the Outer Continental Shelf Lands Act to prohibit oil-, gas-, and methane hydrate-related seismic activities in the North Atlantic, Mid-Atlantic, South Atlantic, and Straits of Florida planning areas of the outer Continental Shelf, and for other purposes.",Energy
H.R.2176,"To authorize the establishment of an Asia-Pacific Defense Commission to enhance defense cooperation between the United States and allies in the Asia-Pacific region, and for other purposes.",International Affairs
H.R.2173,"To improve passenger vessel security and safety, and for other purposes.",Transportation and Public Works
H.R.2167,"To provide for no net increase in the total acreage of certain Federal land under the jurisdiction of the Bureau of Land Management, the National Park Service, the United States Fish and Wildlife Service, or the Forest Service, and for other purposes.",Public Lands and Natural Resources
H.R.2155,To amend the Carl D. Perkins Career and Technical Education Act of 2006 to authorize funds to identify and eliminate excessive occupational licensure.,Education
H.R.2151,"To prevent harassment at institutions of higher education, and for other purposes.",Education
H.R.2157,"To amend the Outer Continental Shelf Lands Act to limit the authority of the President to withdraw areas from oil and gas leasing, and for other purposes.",Energy
H.R.2169,"To amend the Homeland Security Act of 2002 to enhance information sharing in the Department of Homeland Security State, Local, and Regional Fusion Center Initiative, and for other purposes.",Emergency Management
H.R.2163,"To amend the Federal Food, Drug, and Cosmetic Act to require physicians and physician's offices to be treated as covered device users required to report on certain adverse events involving medical devices, and for other purposes.",Health
H.R.2165,"To amend title 49, United States Code, to direct the Administrator of the Transportation Security Administration (TSA) to make certain improvements in managing TSA employee conduct, and for other purposes.",Transportation and Public Works
H.R.2156,"To provide for the establishment of a national memorial and national monument to commemorate those killed by the collapse of the Saint Francis Dam on March 12, 1928, and for other purposes.",Water Resources Development
H.R.2159,To reduce the deficit by imposing a minimum effective tax rate for high-income taxpayers.,Taxation
H.R.2166,"To amend title 37, United States Code, to provide for the continuance of pay and allowances for members of the Armed Forces, including reserve components thereof, during lapses in appropriations.",Armed Forces and National Security
H.R.2175,"To direct the Director of National Intelligence to establish an integration cell to monitor and enforce United Nations Security Council resolutions with respect to North Korea, and for other purposes.",International Affairs
H.R.2174,"To provide for a reauthorizing schedule for unauthorized Federal programs, and for other purposes.",Economics and Public Finance
H.R.2182,"To require the Comptroller General of the United States to submit a report to Congress on the alternatives for the final disposition of Plum Island, including preservation of the island for conservation, education, and research, and for other purposes.",Public Lands and Natural Resources
H.R.2172,To amend the Federal Reserve Act to remove the mandate on the Board of Governors of the Federal Reserve System and the Federal Open Market Committee to focus on maximum employment.,Economics and Public Finance
H.R.2178,"To provide for the compensation of Federal contractor employees that may be placed on unpaid leave as a result of the Federal Government shutdown, and for other purposes.",Government Operations and Politics
H.R.2162,"To amend title 31, United States Code, to provide for automatic continuing resolutions.",Economics and Public Finance
H.R.2160,"To improve the safety of school buses, and for other purposes.",Transportation and Public Works
H.R.2164,"To amend the Federal Food, Drug, and Cosmetic Act with respect to liability under State and local requirements respecting devices.",Health
H.R.2168,To waive the passport fees for first responders proceeding abroad to aid a foreign country suffering from a natural disaster.,International Affairs
H.R.2177,"To amend title 28, United States Code, to change the residency requirements for certain officials serving in the District of Columbia, and for other purposes.",Government Operations and Politics
H.R.2180,"To amend title 10, United States Code, to ensure that women members of the Armed Forces and their families have access to the contraception they need in order to promote the health and readiness of all members of the Armed Forces, and for other purposes.",Armed Forces and National Security
H.R.2152,"To require States and units of local government receiving funds under grant programs operated by the Department of Justice, which use such funds for pretrial services programs, to submit to the Attorney General a report relating to such program, and for other purposes.",Crime and Law Enforcement
H.R.2181,To amend the Internal Revenue Code of 1986 to permit the consolidation of life insurance companies with other companies.,Taxation
H.R.2170,"To amend the National Flood Insurance Act of 1968 to allow the repair, expansion, and construction, without elevation, of agricultural structures located in special flood hazard zones, and for other purposes.",Finance and Financial Sector
H.R.2179,"To require certain welfare programs to deny benefits to persons who fail a drug test, and for other purposes.",Social Welfare
H.J.RES.99,"Making further continuing appropriations for fiscal year 2017, and for other purposes.",Economics and Public Finance
H.R.2171,"To amend the Internal Revenue Code of 1986 to reduce taxpayer burdens and enhance taxpayer protections, and for other purposes.",Taxation
S.985,A bill to prohibit the Secretary of the Interior from revising the approved oil and gas leasing program for fiscal years 2017 through 2022.,Energy
S.983,"A bill to amend the Internal Revenue Code of 1986 to modify the work opportunity credit for certain youth employees, and to extend empowerment zones.",Taxation
S.986,"A bill to amend title XVIII of the Social Security Act to permit hospitals in all-urban States to be considered Medicare dependent hospitals, and for other purposes.",Health
S.961,A bill to develop a database of projects that are proven or promising in terms of moving welfare recipients into work.,Social Welfare
S.956,"A bill to amend the Outer Continental Shelf Lands Act to limit the authority of the President to withdraw areas from oil and gas leasing, and for other purposes.",Energy
S.960,"A bill to amend title 44, United States Code, to protect open, machine-readable databases.",Government Operations and Politics
S.958,"A bill to authorize Federal agencies to establish prize competitions for innovation or adaptation management development relating to coral reef ecosystems, and for other purposes.",Public Lands and Natural Resources
S.982,"A bill to amend the Child Abuse Prevention and Treatment Act to require mandatory reporting of incidents of child abuse or neglect, and for other purposes.",Families
S.964,"A bill to protect broadband users from unfair or deceptive practices relating to privacy or data security, and for other purposes.",Commerce
S.984,"A bill to amend the Workforce Innovation and Opportunity Act to provide funding, on a competitive basis, for summer and year-round employment opportunities for youth ages 14 through 24.",Labor and Employment
S.957,"A bill to amend title 10, United States Code, to ensure that women members of the Armed Forces and their families have access to the contraception they need in order to promote the health and readiness of all members of the Armed Forces, and for other purposes.",Armed Forces and National Security
S.980,A bill to amend title XVIII of the Social Security Act to provide for payments for certain rural health clinic and Federally qualified health center services furnished to hospice patients under the Medicare program.,Health
S.968,"A bill to amend the Public Health Service Act to designate certain medical facilities of the Department of Veterans Affairs as health professional shortage areas, and for other purposes.",Health
S.967,"A bill to amend title XVIII of the Social Security Act to increase access to ambulance services under the Medicare program and to reform payments for such services under such program, and for other purposes.",Health
S.987,"A bill to transition away from fossil fuel sources of energy to 100 percent clean and renewable energy by 2050, and for other purposes.",Energy
S.981,A bill to require the Secretary of Energy to establish an energy efficiency materials pilot program.,Energy
S.988,"A bill to amend the Internal Revenue Code of 1986 to make qualified biogas property and qualified manure resource recovery property eligible for the energy credit and to permit new clean renewable energy bonds to finance qualified biogas property, and for other purposes.",Taxation
S.965,"A bill to improve passenger vessel security and safety, and for other purposes.",Transportation and Public Works
S.963,"A bill to encourage and support partnerships between the public and private sectors to improve our Nation's social programs, and for other purposes.",Social Welfare
S.955,A bill to ensure high-income earners pay a fair share of Federal taxes.,Taxation
S.954,"A bill to prevent harassment at institutions of higher education, and for other purposes.",Education
S.962,"A bill to establish a grant program to support landscape-scale restoration and management, and for other purposes.",Public Lands and Natural Resources
S.970,"A bill to amend title 38, United States Code, to improve the care provided by the Secretary of Veterans Affairs to newborn children.",Armed Forces and National Security
S.959,"A bill to restore protections for Social Security, Railroad retirement, and Black Lung benefits from administrative offset.",Social Welfare
S.966,"A bill to establish a program to accurately document vehicles that were significant in the history of the United States, and for other purposes.","Arts, Culture, Religion"
S.969,A bill to amend the Elementary and Secondary Education Act of 1965 to expand the military student identifier program to cover students with a parent who serves in the reserve component of the Armed Forces.,Education
S.CON.RES.14,A concurrent resolution authorizing the use of Emancipation Hall in the Capitol Visitor Center for an event to celebrate the birthday of King Kamehameha I.,Congress
S.RES.144,"A resolution designating May 1, 2017, as ""National Purebred Dog Day"".",Animals
S.RES.145,A resolution designating April 2017 as "Financial Literacy Month".,Finance and Financial Sector
S.RES.147,A resolution commemorating the 25th anniversary of the 1992 Los Angeles civil unrest.,"Civil Rights and Liberties, Minority Issues"
S.RES.146,"A resolution designating April 30, 2017, as El Dia de Los Ninos-Celebrating Young Americans.",Families
H.RES.289,"Providing for consideration of the joint resolution (H.J. Res. 99) making further continuing appropriations for fiscal year 2017, and for other purposes.",Congress
H.RES.291,"Promoting and supporting the goals and ideals of the Fair Housing Act and recognizing April 2017 as Fair Housing Month, which includes bringing attention to the discrimination faced by every-day Americans in the United States in housing and housing-related transactions on the basis of race, color, national origin, sex, familial status, disability, and religion.","Civil Rights and Liberties, Minority Issues"
H.RES.288,"Expressing support for the designation of the week of April 30, 2017, through May 6, 2017, as ""National Small Business Week"" to celebrate the contributions of small businesses and entrepreneurs in every community in the United States.",Commerce
H.RES.286,Directing certain officials of the executive branch to provide information to the House of Representatives that will enable the House to meet its constitutional responsibility to conduct oversight of the executive branch by investigating potential conflicts of interests of President Donald J. Trump.,Congress
H.RES.290,Expressing support for celebrating the fourth week in April as Every Kid Healthy Week.,Health
H.RES.287,Expressing the sense of the House of Representatives that Congress should pass no law that would exempt from its obligations or provide any other special consideration to elected or appointed Federal officials or any other Federal employee.,Government Operations and Politics
H.RES.292,"Designating April 30, 2017, as El Dia de Los Ninos-Celebrating Young Americans.",Families
H.R.2206,"To authorize the President to reestablish the Civilian Conservation Corps as a means of providing gainful employment to unemployed and underemployed citizens of the United States through the performance of useful public work, and for other purposes.",Labor and Employment
H.R.2208,"To amend the Workforce Innovation and Opportunity Act to provide funding, on a competitive basis, for summer and year-round employment opportunities for youth ages 14 through 24.",Labor and Employment
H.R.2207,"To amend the Workforce Innovation and Opportunity Act to support community college and industry partnerships, and for other purposes.",Labor and Employment
H.R.2212,To promote competition in the market for drugs and biological products by facilitating the timely entry of lower-cost generic and biosimilar versions of those drugs and biological products.,Health
H.R.2213,"To amend the Anti-Border Corruption Act of 2010 to authorize certain polygraph waiver authority, and for other purposes.",Government Operations and Politics
H.R.2199,"To improve Federal land management, resource conservation, environmental protection, and use of Federal real property, by requiring the Secretary of the Interior to develop a multipurpose cadastre of Federal real property and identifying inaccurate, duplicate, and out-of-date Federal land inventories, and for other purposes.",Public Lands and Natural Resources
H.R.2201,"To amend the Securities Act of 1933 to exempt certain micro-offerings from the registration requirements of such Act, and for other purposes.",Finance and Financial Sector
H.R.2196,"To amend title 5, United States Code, to allow whistleblowers to disclose information to certain recipients.",Government Operations and Politics
H.R.2205,To amend the Internal Revenue Code of 1986 to exclude from gross income interest received on certain loans secured by agricultural real property.,Taxation
H.R.2214,"To prohibit the payment of salary to Members of Congress in the event of a Government shutdown, to direct the Congressional Budget Office to submit daily reports during the period in which a Government shutdown is in effect on the effects of the shutdown on the economy and the costs of the shutdown to taxpayers, and for other purposes.",Congress
H.R.2210,"To designate the community living center of the Department of Veterans Affairs in Butler Township, Butler County, Pennsylvania, as the ""Sergeant Joseph George Kusick VA Community Living Center"".",Armed Forces and National Security
H.R.2194,"To protect the public health by providing the Food and Drug Administration with certain authority to regulate e-liquids and personal electronic vaporizers, to reduce the morbidity and mortality resulting from cigarette smoking through the responsible regulation of e-liquids and personal electronic vaporizers as a tobacco harm reduction strategy, and for other purposes.",Health
H.R.2219,To increase the role of the financial industry in combating human trafficking.,Finance and Financial Sector
H.R.2195,"To amend title 5, United States Code, to provide for access of the Special Counsel to certain information.",Government Operations and Politics
H.R.2218,"To expand the Big Laurel Branch Wilderness and Sampson Mountain Wilderness in the Cherokee National Forest in the State of Tennessee, and for other purposes.",Public Lands and Natural Resources
H.R.2198,To direct the Secretary of Veterans Affairs to ensure that calls to medical facilities of the Department can be quickly redirected to the Veterans Crisis Line.,Armed Forces and National Security
H.R.2193,"To grant States authority to enforce State and local sales and use tax laws on remote transactions, and for other purposes.",Taxation
H.R.2222,"To amend section 428 of the McKinney-Vento Homeless Assistance Act to provide incentives to grantees under the Continuum of Care program to re-house all former members of the Armed Forces, and for other purposes.",Housing and Community Development
H.R.2203,"To authorize Federal agencies to establish prize competitions for innovation or adaptation management development relating to coral reef ecosystems, and for other purposes.",Public Lands and Natural Resources
H.R.2217,To amend the Internal Revenue Code of 1986 to increase for 2 years the residential energy credit and the investment tax credit with respect to solar property with a nameplate capacity of less than 20 kilowatts.,Taxation
H.R.2202,"To amend the Public Health Service Act to authorize appointment of Doctors of Chiropractic to regular and reserve corps of the Public Health Service Commissioned Corps, and for other purposes.",Health
H.R.2204,"To require the Comptroller General of the United States to conduct a study regarding the privacy of information collected under the Home Mortgage Disclosure Act of 1975, and for other purposes.",Finance and Financial Sector
H.R.2200,"To reauthorize the Trafficking Victims Protection Act of 2000, and for other purposes.",International Affairs
H.R.2216,"To provide that certain project works on the St. Croix River, Maine, are not required to be licensed by the Federal Energy Regulatory Commission.",Energy
H.R.2209,"To amend the Internal Revenue Code of 1986 to modify the work opportunity credit for certain youth employees, and to extend empowerment zones.",Taxation
H.R.2197,To require the Secretary of Energy to establish an energy efficiency materials pilot program.,Energy
H.R.2220,"To appropriate such funds as may be necessary to ensure that members of the Armed Forces, including reserve components thereof, and supporting civilian and contractor personnel continue to receive pay and allowances for active service performed when a Government shutdown occurs, and for other purposes.",Armed Forces and National Security
H.R.2221,"To amend title 31, United States Code, to provide for automatic continuing resolutions.",Economics and Public Finance
H.R.2211,"To provide for the award of medals or other commendations to handlers of military working dogs and military working dogs, and for other purposes.",Armed Forces and National Security
H.R.2215,"To create protections for depository institutions that provide financial services to cannabis-related legitimate businesses, and for other purposes.",Finance and Financial Sector
H.J.RES.100,"To authorize the use of United States Armed Forces against al Qaeda, the Islamic State of Iraq and the Levant (ISIL), and the Afghan Taliban.",International Affairs
S.978,A bill to direct the Secretary of Education to establish an award program recognizing excellence exhibited by public school system employees providing services to students in prekindergarten through higher education.,Education
S.976,"A bill to restore States' sovereign rights to enforce State and local sales and use tax laws, and for other purposes.",Taxation
S.975,A bill to amend the Internal Revenue Code of 1986 to permanently extend the Indian coal production tax credit.,Taxation
S.971,A bill to require the Administrator of the Environmental Protection Agency to include in each regulatory impact analysis for a proposed or final rule an analysis that does not include any other proposed or unimplemented rule.,Environmental Protection
S.972,"A bill to promote democracy and the rule of law on Nicaragua, and for other purposes.",International Affairs
S.977,A bill to permit occupational therapists to conduct the initial assessment visit and complete the comprehensive assessment under a Medicare home health plan of care for certain rehabilitation cases.,Health
S.973,"A bill to designate as wilderness certain public land in the Cherokee National Forest in the State of Tennessee, and for other purposes.",Public Lands and Natural Resources
S.974,A bill to promote competition in the market for drugs and biological products by facilitating the timely entry of lower-cost generic and biosimilar versions of those drugs and biological products.,Health
S.979,A bill for the relief of Arturo Hernandez-Garcia.,
H.R.2183,"To amend the Internal Revenue Code of 1986 to provide a reduced excise tax rate for portable, electronically-aerated bait containers.",Taxation
H.R.2192,To amend the Public Health Service Act to eliminate the non-application of certain State waiver provisions to Members of Congress and congressional staff.,Health
H.R.2187,To amend the Internal Revenue Code of 1986 to clarify the treatment of certain retirement plan contributions picked up by governmental employers.,Taxation
H.R.2186,"To reserve any amounts forfeited to the United States Government as a result of the criminal prosecution of Joaquin Archivaldo Guzman Loera (commonly known as ""El Chapo""), or of other felony convictions involving the transportation of controlled substances into the United States, for security measures along the Southern border, including the completion of a border wall.",Crime and Law Enforcement
H.R.2190,"To amend the Homeland Security Act of 2002 to direct the Under Secretary for Management of the Department of Homeland Security to make certain improvements in managing the Department's real property portfolio, and for other purposes.",Government Operations and Politics
H.R.2191,"To direct the Secretary of Transportation to revise certain regulations relating to aircraft boarding, and for other purposes.",Transportation and Public Works
H.R.2188,"To amend the Homeland Security Act of 2002 to establish the major metropolitan area counterterrorism training and exercise grant program, and for other purposes.",Emergency Management
H.R.2189,"To amend section 337 of the Tariff Act of 1930 with respect to requirements for domestic industries, and for other purposes.",Foreign Trade and International Finance
H.R.2185,"To require the President to transmit to Congress determinations and certifications of whether foreign financial institutions listed in Attachment 3 or Attachment 4 to Annex II of the Joint Comprehensive Plan of Action have facilitated transactions or provided services for foreign terrorist organizations, sanctioned foreign persons, or Iran's Revolutionary Guard Corps or any of its officials, agents, or affiliates, and for other purposes.",International Affairs
H.R.2184,To support meeting our Nation's growing cybersecurity workforce needs by expanding the cybersecurity education pipeline.,"Science, Technology, Communications"
S.989,"A bill to amend the Public Health Service Act to provide for the participation of pediatric subspecialists in the National Health Service Corps program, and for other purposes.",Health
S.990,"A bill to modernize Government information technology, and for other purposes.",Government Operations and Politics
H.RES.298,Recognizing the security challenges of convening government officials in one specific place and directing the House of Representatives to take appropriate steps so that the House of Representatives can meet in a virtual setting.,Congress
